Data,Hora,Curva Brusca,Créditos,Zigue Zague,Aceleração Anômala
2024/12/13,18:09:21,true.,2560,,
2024/12/13,18:09:26,false.,2570,,
2024/12/13,18:09:30,false.,2580,,
2024/12/13,18:09:34,false.,2560,true,false
2024/12/13,18:09:39,false.,2570,,
2024/12/13,18:09:43,false.,2580,,
2024/12/13,18:09:47,false.,2590,,
2024/12/13,18:09:52,true.,2560,,
2024/12/13,18:09:56,false.,2570,,
2024/12/13,18:10:00,false.,2580,,
2024/12/13,18:10:05,false.,2590,,
2024/12/13,18:10:09,false.,2600,,
2024/12/13,18:10:13,false.,2610,,
2024/12/13,18:10:18,false.,2590,true,false
2024/12/13,18:10:22,false.,2600,,
2024/12/13,18:10:26,false.,2610,,
2024/12/13,18:10:31,false.,2620,,
2024/12/13,18:10:35,false.,2630,,
2024/12/13,18:10:40,false.,2640,,
2024/12/13,18:10:44,false.,2650,,
2024/12/13,18:10:48,false.,2660,,
2024/12/13,18:10:52,false.,2670,,
2024/12/13,18:10:57,false.,2680,,
2024/12/13,18:11:01,false.,2660,true,false
2024/12/13,18:11:05,false.,2670,,
2024/12/13,18:11:10,false.,2680,,
2024/12/13,18:11:14,false.,2690,,
2024/12/13,18:11:18,false.,2700,,
2024/12/13,18:11:23,false.,2710,,
2024/12/13,18:11:27,true.,2680,,
2024/12/13,18:11:32,false.,2690,,
2024/12/13,18:11:36,false.,2700,,
2024/12/13,18:11:40,false.,2710,,
2024/12/13,18:11:44,false.,2690,true,false
2024/12/13,18:11:49,false.,2700,,
2024/12/13,18:11:53,false.,2710,,
2024/12/13,18:11:57,false.,2720,,
2024/12/13,18:12:02,false.,2730,,
2024/12/13,18:12:06,false.,2740,,
2024/12/13,18:12:10,false.,2750,,
2024/12/13,18:12:15,false.,2760,,
2024/12/13,18:12:19,true.,2730,,
2024/12/13,18:12:24,true.,2700,,
2024/12/13,18:12:28,true.,2640,true,false
2024/12/13,18:12:32,true.,2610,,
2024/12/13,18:12:36,true.,2580,,
2024/12/13,18:12:41,false.,2590,,
2024/12/13,18:12:45,false.,2600,,
2024/12/13,18:12:50,false.,2610,,
2024/12/13,18:12:54,false.,2620,,
2024/12/13,18:12:59,false.,2630,,
2024/12/13,18:13:03,true.,2600,,
2024/12/13,18:13:08,true.,2570,,
2024/12/13,18:13:12,false.,2550,true,false
2024/12/13,18:13:16,false.,2560,,
2024/12/13,18:13:21,false.,2570,,
2024/12/13,18:13:26,false.,2580,,
2024/12/13,18:13:30,false.,2590,,
2024/12/13,18:13:35,false.,2600,,
2024/12/13,18:13:39,false.,2610,,
2024/12/13,18:13:44,false.,2620,,
2024/12/13,18:13:48,true.,2590,,
2024/12/13,18:13:52,false.,2600,,
2024/12/13,18:13:57,false.,2580,true,false
2024/12/13,18:14:01,false.,2590,,
2024/12/13,18:14:05,false.,2600,,
2024/12/13,18:14:10,false.,2610,,
2024/12/13,18:14:15,false.,2620,,
2024/12/13,18:14:19,false.,2630,,
2024/12/13,18:14:24,false.,2640,,
2024/12/13,18:14:28,false.,2650,,
2024/12/13,18:14:33,false.,2660,,
2024/12/13,18:14:37,false.,2670,,
2024/12/13,18:14:41,false.,2650,true,false
2024/12/13,18:14:46,false.,2660,,
2024/12/13,18:14:50,false.,2670,,
2024/12/13,18:14:55,true.,2640,,
2024/12/13,18:14:59,true.,2610,,
2024/12/13,18:15:03,true.,2580,,
2024/12/13,18:15:08,true.,2550,,
2024/12/13,18:15:12,true.,2520,,
2024/12/13,18:15:16,false.,2530,,
2024/12/13,18:15:21,false.,2540,,
2024/12/13,18:15:25,true.,2480,true,false
2024/12/13,18:15:29,false.,2490,,
2024/12/13,18:15:33,false.,2500,,
2024/12/13,18:15:38,false.,2510,,
2024/12/13,18:15:42,false.,2520,,
2024/12/13,18:15:47,false.,2530,,
2024/12/13,18:15:52,false.,2540,,
